Company Name,Country,GICS Sector,Ticker
H&M,Sweden,Consumer Discretionary,HM-B.ST
Fast Retailing,Japan,Consumer Discretionary,9983.T
Roche,Switzerland,Health Care,ROG.SW
Takeda Pharmaceutical,Japan,Health Care,4502.T
UCB,Belgium,Health Care,UCB.BR
Keyence,Japan,Information Technology,6861.T
Tata Consultancy Services,India,Information Technology,TCS.NS
Teck Resources,Canada,Materials,TECK
Yara International,Norway,Materials,YAR.OL
Woodside Energy,Australia,Energy,WDS.AX
Neste,Finland,Energy,NESTE.HE
Reliance Industries,India,Communication Services,RELIANCE.NS
STC,Saudi Arabia,Communication Services,STC
BCE Inc.,Canada,Communication Services,BCE
Inditex,Spain,Consumer Discretionary,ITX.MC
Ferrari,Italy,Consumer Discretionary,RACE
LVMH,France,Consumer Discretionary,MC.PA
Suzuki Motor,Japan,Consumer Discretionary,7269.T
Xiaomi,China,Consumer Discretionary,1810.HK
Kweichow Moutai,China,Consumer Staples,600519.SS
L’Oréal,France,Consumer Staples,OR.PA
AB InBev,Belgium,Consumer Staples,ABI.BR
Nongfu Spring,China,Consumer Staples,9633.HK
Kirin Holdings,Japan,Consumer Staples,2503.T
Saudi Aramco,Saudi Arabia,Energy,2222.SR
CNOOC,China,Energy,0883.HK
CFRIChemont,Switzerland,Materials,CFR.SW
SABIC,Saudi Arabia,Materials,2010.SR
HDFC Bank,India,Financials,HDFCBANK.NS
Commonwealth Bank of Australia,Australia,Financials,CBA.AX
Hong Kong Exchanges,Hong Kong,Financials,0388.HK
TSMC,Taiwan,Information Technology,2330.TW
Arm Holdings,UK,Information Technology,ARM
Link REIT,Hong Kong,Real Estate,0823.HK
Yangtze Power,China,Utilities,600900.SS
