Id,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ESG Rank Year,ESG Rank,Average Rank,Years Appeared,Fin Metrics Year,Stock_Performance per,ReportDate,TotalRevenueIncr per,NetIncomeIncr per,OperatingIncomeIncr per,GrossProfitIncr per,DilutedEPSIncr per,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS,Net Margin per,Operating Margin per,Gross Margin per,ToralRevenue per employee,NetIncome per employee
197,5NU.F,CapitaLand Investment Ltd,Singapore,Real Estate,,SGD,2022,75,68,7,2021,3.37,12/31/2024,,,,,,1777450387,1045695845,263555661.4,820123205.3,-0.083,58.83,14.83,46.14,,
198,5NU.F,CapitaLand Investment Ltd,Singapore,Real Estate,,SGD,2023,56,68,7,2022,18.76,12/31/2024,25.43,-36.17,47.94,21.93,-449.98,2229370830,667415954.4,389907346.2,999961186.1,0.291,29.94,17.49,44.85,,
199,CAS.TO,Cascades Inc,Canada,Materials,9600,CAD,2020,49,33.5,6,2019,13.21,12/31/2024,,,,,,,,,,,,,,,
200,CAS.TO,Cascades Inc,Canada,Materials,9600,CAD,2021,17,33.5,6,2020,33.24,12/31/2024,,,,,,,,,,,,,,,
201,CAS.TO,Cascades Inc,Canada,Materials,9600,CAD,2022,18,33.5,6,2021,-1.85,12/31/2024,,,,,,2879331528,117909936.2,99713958.38,1145618763,1.157,4.1,3.46,39.79,3.00E+05,12282.29
202,CAS.TO,Cascades Inc,Canada,Materials,9600,CAD,2023,20,33.5,6,2022,-35.77,12/31/2024,12.89,-120.99,5.11,3.56,-121.38,3250529475,-24746529.82,104808832.2,1186377753,-0.247,-0.76,3.22,36.5,3.39E+05,-2577.76
203,CAS.TO,Cascades Inc,Canada,Materials,9600,CAD,2024,38,33.5,6,2023,56.14,12/31/2024,3.85,123.53,90.28,16.38,123.53,3375717803,-55315772.53,199427916.8,1380710796,-0.553,-1.64,5.91,40.9,3.52E+05,-5762.06
204,CAS.TO,Cascades Inc,Canada,Materials,9600,CAD,2025,59,33.5,6,2024,-0.91,12/31/2024,1.36,-59.21,-27.01,-2.27,-59.21,3421571667,-22563012.48,145567822.5,1349413714,-0.226,-0.66,4.25,39.44,3.56E+05,-2350.31
205,CLS,Celestica Inc,Canada,Consumer Staples,21914,USD,2016,85,89.5,2,2015,-4.84,12/31/2024,,,,,,,,,,,,,,,
206,CLS,Celestica Inc,Canada,Consumer Staples,21914,USD,2019,94,89.5,2,2018,-16.76,12/31/2024,,,,,,,,,,,,,,,
207,CMIG4.SA,CEMIG,Brazil,Utilities,5028,BRL,2018,18,18.66666667,3,2017,-6.6,12/31/2024,,,,,,,,,,,,,,,
208,CMIG4.SA,CEMIG,Brazil,Utilities,5028,BRL,2019,19,18.66666667,3,2018,116.45,12/31/2024,,,,,,,,,,,,,,,
209,CMIG4.SA,CEMIG,Brazil,Utilities,5028,BRL,2020,19,18.66666667,3,2019,4.87,12/31/2024,,,,,,,,,,,,,,,
210,CNA.L,Centrica PLC,United Kingdom,Utilities,21038,GBP,2016,11,12,2,2015,-21.24,12/31/2024,,,,,,,,,,,,,,,
211,CNA.L,Centrica PLC,United Kingdom,Utilities,21038,GBP,2017,13,12,2,2016,8.14,12/31/2024,,,,,,,,,,,,,,,
212,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2016,57,29.2,10,2015,1.15,7/31/2024,,,,,,,,,,,,,,,
213,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2017,3,29.2,10,2016,17.58,7/31/2024,,,,,,,,,,,,,,,
214,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2018,7,29.2,10,2017,30.62,7/31/2024,,,,,,,,,,,,,,,
215,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2019,14,29.2,10,2018,13.96,7/31/2024,,,,,,,,,,,,,,,
216,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2020,4,29.2,10,2019,15.74,7/31/2024,,,,,,,,,,,,,,,
217,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2021,13,29.2,10,2020,-4.97,7/31/2024,,,,,,,,,,,,,,,
218,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2022,28,29.2,10,2021,46.6,7/31/2024,,,,,,49818000000,10591000000,13719000000,31894000000,2.5,21.26,27.54,64.02,,
219,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2023,48,29.2,10,2022,-21.88,7/31/2024,3.49,11.53,1.87,1.11,12.8,51557000000,11812000000,13975000000,32248000000,2.82,22.91,27.11,62.55,,
220,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2024,64,29.2,10,2023,8.79,7/31/2024,10.55,6.78,11.36,10.87,8.87,56998000000,12613000000,15562000000,35753000000,3.07,22.13,27.3,62.73,,
221,CSCO,Cisco Systems Inc,USA,Information Technology,,USD,2025,54,29.2,10,2024,21.05,7/31/2024,-5.61,-18.18,-16.66,-2.59,-17.26,53803000000,10320000000,12970000000,34828000000,2.54,19.18,24.11,64.73,,
222,C09.SI,City Developments Ltd,Singapore,Real Estate,8354,SGD,2016,10,33.5,10,2015,-23.82,12/31/2024,,,,,,,,,,,,,,,
