Year-Month-Date,Ticker,Original Currency,TotalRevenue,CostOfRevenue,GrossProfit,OperatingExpense,OperatingIncome,NetIncome,DilutedEPS,InterestExpense,NormalizedEBITDA,EBITDA,EBIT,NormalizedIncome,TotalExpenses,DilutedAverageShares,BasicAverageShares,BasicEPS,fullTimeEmployees,sector,industry,marketCap,enterpriseValue,beta,dividendYield,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,totalDebt,debtToEquity,operatingMargins,profitMargins,country,ResearchAndDevelopment
2023-12-31,AKZA.AS,EUR,12269120474.338531,7399655149.22142,4869465325.117111,3686026539.206505,1183438785.9106064,508338137.38822937,2.9672226119041443,221966652.75096893,1587119071.483612,1534215102.4341583,1123634299.15905,551438770.9555626,11085681688.427925,171338756.0,170573555.0,2.978723474740982,34100,Basic Materials,Specialty Chemicals,11372368793.54419,16331521416.930786,0.993,3.44,21.272058,12.772627,0.92552173,2.1384485,6770558025.6519165,121.082,0.07654,0.0438,Netherlands,310523296.59461975
2022-12-31,AKZA.AS,EUR,12473835832.834244,7962047341.942787,4511788490.891457,3697527402.0433426,814261088.848114,404830371.85668945,2.311673430204391,121909146.07048035,1260494566.9174194,1237492841.243744,814261088.848114,431167347.75304794,11659574743.98613,175313498.0,174735139.0,2.311673430204391,34100,Basic Materials,Specialty Chemicals,11372368793.54419,16331521416.930786,0.993,3.44,21.272058,12.772627,0.92552173,2.1384485,6770558025.6519165,121.082,0.07654,0.0438,Netherlands,296722261.1904144
2021-12-31,AKZA.AS,EUR,11025877201.676369,6535940350.174904,4489936851.501465,3204140386.3430023,1285796465.1584625,953421529.173851,5.129384825229645,85106384.99259949,1759632014.0361786,1759632014.0361786,1355951728.463173,946521011.4717484,9740080736.517906,185673980.0,184959866.0,5.152386550903321,34100,Basic Materials,Specialty Chemicals,11372368793.54419,16331521416.930786,0.993,3.44,21.272058,12.772627,0.92552173,2.1384485,6770558025.6519165,121.082,0.07654,0.0438,Netherlands,264519845.24726868
2020-12-31,AKZA.AS,EUR,,,,,,,,,,,,,,,,,34100,Basic Materials,Specialty Chemicals,11372368793.54419,16331521416.930786,0.993,3.44,21.272058,12.772627,0.92552173,2.1384485,6770558025.6519165,121.082,0.07654,0.0438,Netherlands,
2024-12-31,AQN.TO,USD,2319538000.0,594329000.0,1725209000.0,1275637000.0,449572000.0,-1380517000.0,-1.9,389326000.0,947845000.0,1043185000.0,566506000.0,44720000.0,1869966000.0,734049259.0,731721239.0,-1.9,3786,Utilities,Utilities - Diversified,6065201664.0,12930589696.0,0.67,4.58,20.789474,18.809525,2.5637672,1.3449098,6343199744.0,123.178,0.26733,-0.50497,Canada,
2023-12-31,AQN.TO,USD,2403924000.0,743504000.0,1660420000.0,1177993000.0,482427000.0,28674000.0,0.03,328100000.0,978229000.0,732981000.0,265985000.0,184067800.0,1921497000.0,690763226.0,688738717.0,0.03,3786,Utilities,Utilities - Diversified,6065201664.0,12930589696.0,0.67,4.58,20.789474,18.809525,2.5637672,1.3449098,6343199744.0,123.178,0.26733,-0.50497,Canada,
2022-12-31,AQN.TO,USD,2765013000.0,866354000.0,1898659000.0,1387241000.0,511418000.0,-211989000.0,-0.33,293748000.0,969899000.0,379600000.0,-75920000.0,280083855.49466,2253595000.0,677862207.0,677862207.0,-0.33,3786,Utilities,Utilities - Diversified,6065201664.0,12930589696.0,0.67,4.58,20.789474,18.809525,2.5637672,1.3449098,6343199744.0,123.178,0.26733,-0.50497,Canada,
2021-12-31,AQN.TO,USD,2274142000.0,713915000.0,1560227000.0,1171817000.0,388410000.0,264859000.0,0.41,227667000.0,779170000.0,772862000.0,369899000.0,269495380.0,1885732000.0,628947862.0,622347677.0,0.41,3786,Utilities,Utilities - Diversified,6065201664.0,12930589696.0,0.67,4.58,20.789474,18.809525,2.5637672,1.3449098,6343199744.0,123.178,0.26733,-0.50497,Canada,
2020-12-31,AQN.TO,USD,,,,,,,,,,,,,,,,,3786,Utilities,Utilities - Diversified,6065201664.0,12930589696.0,0.67,4.58,20.789474,18.809525,2.5637672,1.3449098,6343199744.0,123.178,0.26733,-0.50497,Canada,
2024-12-31,ALV.DE,EUR,137466363229.8708,,,,,11421506883.263588,28.9591726231575,876365748.167038,,,16995975100.278854,12026912302.994728,121347903964.04266,388583250.0,388462381.0,28.982174348831176,156626,Financial Services,Insurance - Diversified,149076775888.7373,119775041693.35645,0.974,4.53,13.373112,12.3648405,1.1888678,2.1059225,0.0,,0.15622,0.09061,Germany,
2023-12-31,ALV.DE,EUR,118472688254.83322,,,,,9822886948.943138,24.358827488422392,725704445.0044632,,,14046003782.629967,10332421176.066399,105155839176.05878,396315983.0,396190104.0,24.38182921409607,156626,Financial Services,Insurance - Diversified,149076775888.7373,119775041693.35645,0.974,4.53,13.373112,12.3648405,1.1888678,2.1059225,0.0,,0.15622,0.09061,Germany,
2022-12-31,ALV.DE,EUR,71239794670.22418,,,,,7384704027.533531,17.803335671424865,1653824075.937271,,,12751006627.202034,8160160055.083871,60124210738.42049,406260704.0,404793132.0,17.906843436956407,156626,Financial Services,Insurance - Diversified,149076775888.7373,119775041693.35645,0.974,4.53,13.373112,12.3648405,1.1888678,2.1059225,0.0,,0.15622,0.09061,Germany,
2021-12-31,ALV.DE,EUR,136757910079.12158,,,,,7602070335.149765,18.205865870714188,1332950002.7894974,,,12281771423.459053,8173474603.990078,125813689003.58676,411689041.0,410924074.0,18.35537708759308,156626,Financial Services,Insurance - Diversified,149076775888.7373,119775041693.35645,0.974,4.53,13.373112,12.3648405,1.1888678,2.1059225,0.0,,0.15622,0.09061,Germany,
2020-12-31,ALV.DE,EUR,,,,,,,,,,,,,,,,,156626,Financial Services,Insurance - Diversified,149076775888.7373,119775041693.35645,0.974,4.53,13.373112,12.3648405,1.1888678,2.1059225,0.0,,0.15622,0.09061,Germany,
